Article identifier,Rumor or Deal Number,Text,Timestamp,Article Header,Rumor or Deal,Target1,Target2,Acquirer1,Acquirer2,Acquirer3,Acquirer4,Bullish/Bearish for the target (0 or 1),Bearish/Bullish for the acquirer (0 or 1),Announcement Date (if different from Article date),Notes
VW86,2,"iKang Healthcare Group, Inc. (NASDAQ: KANG) announced Friday, that it has acquired a 70% equity interest in WA Centers HK Limited. Terms were not disclosed.iKang shares gained almost 3% Friday, closing at $17.32.News Corp Acquires VCCircle",3/8/2015 21:49:00,Benzinga's Weekend M&A Chatter,The Deal:,,,,,,,,,,
VW86,3,"News Corp (NASDAQ: NWSA) announced Sunday, an agreement to acquire the VCCircle Network, including VCCircle.com, Techcircle.in, VCCEdge and VCCircle Training. Terms were not disclosed.The deal is expected to close in March.News Corp shares closed Friday at $16.83, a loss of 1.5%.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",3/8/2015 21:49:00,Benzinga's Weekend M&A Chatter,The Deal:,,,,,,,,,,
ED77,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Thursday March 5, 2015:AbbVie to Acquire Pharmacyclics for $261.25/Share in Cash, Stock",3/5/2015 20:07:00,"Benzinga's M&A Chatter for Thursday March 5, 2015",NA,,,,,,,,,,
ED77,1,"AbbVie (NYSE: ABBV) and Pharmacyclics (NASDAQ: PCYC) announced late Wednesday, a definitive agreement whereby AbbVie will acquire Pharmacyclics for $261.25 per share comprised in cash and AbbVie shares. Through a tender offer, AbbVie will offer to acquire all of the outstanding shares of Pharmacyclics' common stock for $261.25 per share, consisting of approximately 58% cash and 42% AbbVie common stock. The deal is expected to close in mid-2015. Pharmacyclics shares gained more than 10% Thursday, closing at $254.22. Ingersoll Rand Acquires FRIGOBLOCK for €100M",3/5/2015 20:07:00,"Benzinga's M&A Chatter for Thursday March 5, 2015",The Deal:,,,,,,,,,,
ED77,2,"Ingersoll-Rand plc (NYSE: IR) announced Thursday, it has completed the acquisition of FRIGOBLOCK for €100 million.. The deal closed on March 4, 2015. Ingersoll Rand shares closed Thursday at $67.68, a gain of 1%.Citigroup Completes Sale of 9.9% Stake in Akbank for ~$1.15B",3/5/2015 20:07:00,"Benzinga's M&A Chatter for Thursday March 5, 2015",The Deal:,,,,,,,,,,
ED77,3,"Citigroup Inc. (NYSE: C) announced Thursday, that it has sold 396 million common shares in Akbank through an equity offering representing its entire 9.9% equity interest in the company for proceeds from of approximately $1.15 billion.Citigroup shares Thursday at $53.56, down $0.11.Mallinckrodt Pharmaceuticals to Acquire Ikaria for $2.3B",3/5/2015 20:07:00,"Benzinga's M&A Chatter for Thursday March 5, 2015",The Deal:,,,,,,,,,,
ED77,4,"Mallinckrodt plc (NYSE: MNK) and privately-held critical care company, Ikaria, announced Thursday, that Mallinckrodt will acquire from a Madison Dearborn-led investor group in a transaction valued at approximately $2.3 billion. The deal is expected to closed in early Q2 of 2015.Mallinckrodt closed Thursday at $121.70, up $5.51.Rumor of VF Corp Acquisition of Lululemon",3/5/2015 20:07:00,"Benzinga's M&A Chatter for Thursday March 5, 2015",The Deal:,,,,,,,,,,
ED77,5,"Shares of Lululemon Athletica Inc. (NASDAQ: LULU) rose Thursday, on unconfimred market chatter of a potential bid from V.F. Corporation (NYSE: VFC). The rumored offer is $84.00 per share in cash and stock.Nike, Inc. (NYSE: NKE) has previously been mentioned as a possible buyer for the manufacturer of athletic apparel.Spokespersons for Lululemon and V.F. Corporation did not respond to requests for comment.Lululemon closed Thursday at $64.85, down $0.67.Rumor of Navistar Acquisition Interest by European Automakers",3/5/2015 20:07:00,"Benzinga's M&A Chatter for Thursday March 5, 2015",The Rumor:,LULU,,VFC,,,,0,,,
ED77,6,"Shares of Navistar International Corporation (NYSE: NAV) surged higher Thursday on an unconfirmed rumor that several European automakers, including AB Volvo (OTC: VOLVY), Volkswagen AG (OTC: VLKAY) and Daimler AG (OTC: DDAIF) were considering a bid for the manufacturer of commercial trucks, buses, defense vehicles and engines.Navistar declined comment on the rumor.Navistar shares closed Thursday at $30.30, up $1.57.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",3/5/2015 20:07:00,"Benzinga's M&A Chatter for Thursday March 5, 2015",The Rumor:,NAV,,VOLVY,VKLAY,DDAIF,,0,,,
Kq35,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Wednesday March 4, 2015:Bain Capital, Golden Gate Reportedly Seeking Ann Taylor Deal",3/4/2015 20:47:00,"Benzinga's M&A Chatter for Wednesday March 4, 2015",NA,,,,,,,,,,
Kq35,1,"Shares of ANN INC. (NYSE: ANN) surged higher Wednesday, on a report from Reuters that PE firms Bain Capital and Golden Gate Capital are competing to acquire the woman's retailer. The report says a deal is not a certainty due to a lack of available debt for buyouts of apparel retailers.Spokespersons for Ann, Bain and Golden Gate declined comment.Ann, Inc. shares gained more than 6% Wednesday, closing at $37.40. Avago Sought Freescale Deal, Still Seeking Large Acquisition",3/4/2015 20:47:00,"Benzinga's M&A Chatter for Wednesday March 4, 2015",The Rumor:,ANN,,,,,,0,,,private acquirer
Kq35,2,"Shares of Avago Technologies Limited (NASDAQ: AVGO) rose Wednesday on a report from Reuters, that the Singapore-based semiconductor company had attempted to acquire Freescale Semiconductor, Ltd. (NYSE: FSL), but lost out to NXP Semiconductors NV (NASDAQ: NXPI), according to sources. The report said that Avago was still in the market for a large deal. Call options in several related companies were active following the report, including Atmel Corporation (NASDAQ: ATML) and Linear Technology Corporation (NASDAQ: LLTC).A spokesperson for Avago was not immediately available for comment.Avago Technologies shares closed Wednesday at $129.40, a gain of almost 1%.J&J Acquisition of Pharmacyclics Could be Announced Thursday",3/4/2015 20:47:00,"Benzinga's M&A Chatter for Wednesday March 4, 2015",The Rumor:,,,,AVGO,,,,1,,
Kq35,3,"Shares of Pharmacyclics Inc. (NASDAQ: PCYC) spiked as high as $248.49 after-hours Wednesday, on a report from Financial Times, that Johnson & Johnson (NYSE: JNJ) could acquire its Imbruvica partner. Bloomberg, which first reported on February 25 that Pharmacyclics was considering a sale, reported late Wednesday that a deal could be announced as early as Thursday.Spokespersons for J&J and Pharmacyclics declined comment on the report.Pharmacyclics closed the regular session Wednesday at $230.48, up $13.71.EU Antitrust Regulators Set to Approve ZF Friedrichshafen's Acquisition of TRW",3/4/2015 20:47:00,"Benzinga's M&A Chatter for Wednesday March 4, 2015",The Rumor:,PCYC,,JNJ,,,,0,,,
Kq35,4,"Shares of TRW Automotive Holdings Corp. (TRW) NYSE spiked higher Wednesday, on a report from Reuters, that EU antitrust regulators are about to approve ZF Friedrichshafen's 13.5 billion takeover of the Livonia, Michigan company. This is a conditional phase 1 approval, according to a source.TRW closed Wednesday $104.50, up $0.27.Simon Approaches Macerich Regarding Takeover",3/4/2015 20:47:00,"Benzinga's M&A Chatter for Wednesday March 4, 2015",The Rumor:,TRW,,,,,,0,,,
Kq35,5,"Simon Property Group Inc. (NYSE: SPG) has approached The Macerich Company (NYSE: MAC) in recent weeks, seeking a potential merger, according to sources as reported by the Wall Street Journal. That follows another approach in late 2014.Simon disclosed a 3.6% stake in Macerich in November.Simon hasn't made a formal offer for MacerichTRW closed Wednesday $104.50, up $0.27.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",3/4/2015 20:47:00,"Benzinga's M&A Chatter for Wednesday March 4, 2015",The Rumor:,MAC,,SPG,,,,,,,
Vm83,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Tuesday March 3, 2015:Springleaf Financial to Acquire OneMain Financial in $4.25B Deal",3/3/2015 19:35:00,"Benzinga's M&A Chatter for Tuesday March 3, 2015",NA,,,,,,,,,,
Vm83,1,"Springleaf Holdings, Inc. (NYSE: LEAF) announced Tuesday, an agreement to acquire OneMain Financial from Citigroup (NYSE: C) subsidiary. CitiFinancial Credit Company, for $4.25 billion in cash. The deal is expected to close in Q3 of 2015, subject to regulatory approvals.Springleaf shares gained 32% Tuesday, closing at $50.23. Citigroup shares gained $0.24, to close at $53.73.Jiayuan.com Announces Receipt of 'Going Private' Proposal of $5.37/ADSThe Offer:Jiayuan.com International Ltd. (NASDAQ: DATE) announced Tuesday, that its Board of Directors has received a preliminary non-binding proposal letter, dated March 3, 2015 from Vast Profit Holdings Limited proposing a ""going-private"" transaction involving the acquisition of all of the outstanding ordinary shares of the company not already owned by Vast Profit at a price per share of $3.58, or $5.37 per ADS in cash. Vast Profit acquired 8,003,763 ordinary shares of Jiayuan.com from Aprilsky Ltd., closing on on March 2, 2015. The Board is forming a special committee of independent directors to consider the offer.Jiayuan.com shares closed Tuesday at $5.19, a gain of 12%.Smith & Nephew Acquires Colombian Distributor ECC",3/3/2015 19:35:00,"Benzinga's M&A Chatter for Tuesday March 3, 2015",The Deal:,,,,,,,,,,
Vm83,2,"Smith & Nephew plc (NYSE: SNN) announced Tuesday, the acquisition of EuroCiencia Colombia, S&N's sole distributor for orthopaedic reconstruction, trauma and sports medicine products in Colombia since 2006. Terms of the deal were not disclosed.Smith & Nephew shares 7.5% Tuesday, closing at $34.10.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",3/3/2015 19:35:00,"Benzinga's M&A Chatter for Tuesday March 3, 2015",The Deal:,,,,,,,,,,
Ud10,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Monday March 2, 2015:Hewlett Packard to Acquire Aruba Networks",3/2/2015 19:29:00,"Benzinga's M&A Chatter for Monday March 2, 2015",NA,,,,,,,,,,
Ud10,1,"HP (NYSE: HPQ) and Aruba Networks (NASDAQ: ARUN) announced Monday, an agreement for HP to acquire Aruba for $24.67 per share in cash. Rumor of a potential deal was reported by Bloomberg on February 25.The deal is expected to close in H2 of HP's FY 2015, subject to Aruba shareholder, regulatory approval. Aruba Networks shares lost $0.16 Monday, closing at $24.65.Ebay's PayPal to Acquire Paydiant",3/2/2015 19:29:00,"Benzinga's M&A Chatter for Monday March 2, 2015",The Deal:,,,,,,,,,,
Ud10,2,"Ebay's (NASDAQ: EBAY) PayPal has agreed to acquire mobile payments company, Paydiant. Terms were not disclosed. Paydiant provide the mobile wallet platform for MCX whose members include Walmart, Target, Sears, Wendy's, Exxon, and CVS. The deal is expected to close in late March or April.Ebay shares closed Monday at $58.38, a gain of $0.47.Hearing Renewed PE Interest in Seagate",3/2/2015 19:29:00,"Benzinga's M&A Chatter for Monday March 2, 2015",The Deal:,,,,,,,,,,
Ud10,3,"Shares of Seagate Technology Public Limited Company (NASDAQ: STX) rose Monday on renewed market chatter that the company has drawn interest from private equity regarding a potiential deal. The takeover price is $72.00 to $74.00 per share, according to sources.TPG and KKR are rumored to be making another bid for Seagate, following their initial failed 2010 attempt. At that time, the rumored offer was $16.00 per share.A spokesperson for TPG declined comment on the rumor. KKR and Seagate did not respond to requests for comment.Seagate shares rose $0.44 Monday, closing at $61.56.Boston Scientific Corp to Acquire Endo's American Medical Systems' Men's and Prostate Health Business for Up to $1.65B",3/2/2015 19:29:00,"Benzinga's M&A Chatter for Monday March 2, 2015",The Rumor:,STR,,KKR,TPG,,,0,,,
Ud10,4,"Boston Scientific Corporation (NYSE: BSX) announced Monday, that it has entered into a definitive agreement to acquire the American Medical Systems urology portfolio, including the Men's Health and Prostate Health businesses, from Endo International plc (NASDAQ: ENDP) for $1.6 billion in up-front cash, plus a potential additional $50 million milestone based on 2016 sales. The deal is expected to close in Q3 of 2015.Endo shares closed Monday at $87.32, a gain of 2%. Boston Scientific shares gained $0.16 to close at $17.06.Cardinal Health to Acquire Cordis for $1.944B in Cash",3/2/2015 19:29:00,"Benzinga's M&A Chatter for Monday March 2, 2015",The Deal:,,,,,,,,,,
Ud10,5,"Cardinal Health, Inc. (NYSE: CAH) announced Monday plans to acquire Cordis from Johnson & Johnson (NYSE: JNJ) for $1.944 billion in cash. The deal is expected to close towards the end of calendar 2015.Cardinal Health shares closed Monday at $89.52, a gain of $1.53. Johnson & Johnson shares gained $0.71 to close at $103.22.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",3/2/2015 19:29:00,"Benzinga's M&A Chatter for Monday March 2, 2015",The Deal:,,,,,,,,,,
eU86,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Thursday February 26, 2015:Activist David Callan Presses Identiv Board to Consider SaleThe Activist Letter:Shares of Identiv, Inc. (NASDAQ: INVE) rose early Thursday on a letter from activist investor David Callan posted on Benzinga. Callan is urging the Identiv Board to consider strategic alternatives to maximize shareholder value, including a sale of the company.Callan believes Identiv could be worth $22 to $27 in an acquisiiton. Callan points out that Identiv has a low price to sales of 1.4 trailing and an enterprise value/revenue of 1.2, compared to competitors that have an average price to sales of 7.1 and an enterprise value/revenue of 6.8.A spokesperson for Identiv issued the following statement in response to the letter: ""The Identiv Board and management team regularly review options for creating long-term shareholder value. We value the opinions of all our bona fide shareholders, consider their input and appreciate their views. However, as a matter of policy, the Company does not disclose the specifics of boardroom discussions nor interactions with shareholders. Having spent 2014 restructuring and positioning the business, Identiv is now fully focused on executing a strategic plan to drive growth, and we enter 2015 with strong momentum, aiming for 20% revenue growth this year.""Identiv shares lost $0.06 Thursday, closing at $10.34.Cyberonics, Sorin Group Announce $2.7B Merger Agreement",2/26/2015 18:24:00,"Benzinga's M&A Chatter for Thursday February 26, 2015",NA,,,,,,,,,,
